Start Date,1/1/14
End Date,9/30/24
,
,SPX Index
,Last Price
Dates,PX_LAST
9/30/24,5762.48
9/27/24,5738.17
9/26/24,5745.37
9/25/24,5722.26
9/24/24,5732.93
9/23/24,5718.57
9/20/24,5702.55
9/19/24,5713.64
9/18/24,5618.26
9/17/24,5634.58
9/16/24,5633.09
9/13/24,5626.02
9/12/24,5595.76
9/11/24,5554.13
9/10/24,5495.52
9/9/24,5471.05
9/6/24,5408.42
9/5/24,5503.41
9/4/24,5520.07
9/3/24,5528.93
8/30/24,5648.4
8/29/24,5591.96
8/28/24,5592.18
8/27/24,5625.8
8/26/24,5616.84
8/23/24,5634.61
8/22/24,5570.64
8/21/24,5620.85
8/20/24,5597.12
8/19/24,5608.25
8/16/24,5554.25
8/15/24,5543.22
8/14/24,5455.21
8/13/24,5434.43
8/12/24,5344.39
8/9/24,5344.16
8/8/24,5319.31
8/7/24,5199.5
8/6/24,5240.03
8/5/24,5186.33
8/2/24,5346.56
8/1/24,5446.68
7/31/24,5522.3
7/30/24,5436.44
7/29/24,5463.54
7/26/24,5459.1
7/25/24,5399.22
7/24/24,5427.13
7/23/24,5555.74
7/22/24,5564.41
7/19/24,5505
7/18/24,5544.59
7/17/24,5588.27
7/16/24,5667.2
7/15/24,5631.22
7/12/24,5615.35
7/11/24,5584.54
7/10/24,5633.91
7/9/24,5576.98
7/8/24,5572.85
7/5/24,5567.19
7/3/24,5537.02
7/2/24,5509.01
7/1/24,5475.09
6/28/24,5460.48
6/27/24,5482.87
6/26/24,5477.9
6/25/24,5469.3
6/24/24,5447.87
6/21/24,5464.62
6/20/24,5473.17
6/18/24,5487.03
6/17/24,5473.23
6/14/24,5431.6
6/13/24,5433.74
6/12/24,5421.03
6/11/24,5375.32
6/10/24,5360.79
6/7/24,5346.99
6/6/24,5352.96
6/5/24,5354.03
6/4/24,5291.34
6/3/24,5283.4
5/31/24,5277.51
5/30/24,5235.48
5/29/24,5266.95
5/28/24,5306.04
5/24/24,5304.72
5/23/24,5267.84
5/22/24,5307.01
5/21/24,5321.41
5/20/24,5308.13
5/17/24,5303.27
5/16/24,5297.1
5/15/24,5308.15
5/14/24,5246.68
5/13/24,5221.42
5/10/24,5222.68
5/9/24,5214.08
5/8/24,5187.67
5/7/24,5187.7
5/6/24,5180.74
5/3/24,5127.79
5/2/24,5064.2
5/1/24,5018.39
4/30/24,5035.69
4/29/24,5116.17
4/26/24,5099.96
4/25/24,5048.42
4/24/24,5071.63
4/23/24,5070.55
4/22/24,5010.6
4/19/24,4967.23
4/18/24,5011.12
4/17/24,5022.21
4/16/24,5051.41
4/15/24,5061.82
4/12/24,5123.41
4/11/24,5199.06
4/10/24,5160.64
4/9/24,5209.91
4/8/24,5202.39
4/5/24,5204.34
4/4/24,5147.21
4/3/24,5211.49
4/2/24,5205.81
4/1/24,5243.77
3/28/24,5254.35
3/27/24,5248.49
3/26/24,5203.58
3/25/24,5218.19
3/22/24,5234.18
3/21/24,5241.53
3/20/24,5224.62
3/19/24,5178.51
3/18/24,5149.42
3/15/24,5117.09
3/14/24,5150.48
3/13/24,5165.31
3/12/24,5175.27
3/11/24,5117.94
3/8/24,5123.69
3/7/24,5157.36
3/6/24,5104.76
3/5/24,5078.65
3/4/24,5130.95
3/1/24,5137.08
2/29/24,5096.27
2/28/24,5069.76
2/27/24,5078.18
2/26/24,5069.53
2/23/24,5088.8
2/22/24,5087.03
2/21/24,4981.8
2/20/24,4975.51
2/16/24,5005.57
2/15/24,5029.73
2/14/24,5000.62
2/13/24,4953.17
2/12/24,5021.84
2/9/24,5026.61
2/8/24,4997.91
2/7/24,4995.06
2/6/24,4954.23
2/5/24,4942.81
2/2/24,4958.61
2/1/24,4906.19
1/31/24,4845.65
1/30/24,4924.97
1/29/24,4927.93
1/26/24,4890.97
1/25/24,4894.16
1/24/24,4868.55
1/23/24,4864.6
1/22/24,4850.43
1/19/24,4839.81
1/18/24,4780.94
1/17/24,4739.21
1/16/24,4765.98
1/12/24,4783.83
1/11/24,4780.24
1/10/24,4783.45
1/9/24,4756.5
1/8/24,4763.54
1/5/24,4697.24
1/4/24,4688.68
1/3/24,4704.81
1/2/24,4742.83
12/29/23,4769.83
12/28/23,4783.35
12/27/23,4781.58
12/26/23,4774.75
12/22/23,4754.63
12/21/23,4746.75
12/20/23,4698.35
12/19/23,4768.37
12/18/23,4740.56
12/15/23,4719.19
12/14/23,4719.55
12/13/23,4707.09
12/12/23,4643.7
12/11/23,4622.44
12/8/23,4604.37
12/7/23,4585.59
12/6/23,4549.34
12/5/23,4567.18
12/4/23,4569.78
12/1/23,4594.63
11/30/23,4567.8
11/29/23,4550.58
11/28/23,4554.89
11/27/23,4550.43
11/24/23,4559.34
11/22/23,4556.62
11/21/23,4538.19
11/20/23,4547.38
11/17/23,4514.02
11/16/23,4508.24
11/15/23,4502.88
11/14/23,4495.7
11/13/23,4411.55
11/10/23,4415.24
11/9/23,4347.35
11/8/23,4382.78
11/7/23,4378.38
11/6/23,4365.98
11/3/23,4358.34
11/2/23,4317.78
11/1/23,4237.86
10/31/23,4193.8
10/30/23,4166.82
10/27/23,4117.37
10/26/23,4137.23
10/25/23,4186.77
10/24/23,4247.68
10/23/23,4217.04
10/20/23,4224.16
10/19/23,4278
10/18/23,4314.6
10/17/23,4373.2
10/16/23,4373.63
10/13/23,4327.78
10/12/23,4349.61
10/11/23,4376.95
10/10/23,4358.24
10/9/23,4335.66
10/6/23,4308.5
10/5/23,4258.19
10/4/23,4263.75
10/3/23,4229.45
10/2/23,4288.39
9/29/23,4288.05
9/28/23,4299.7
9/27/23,4274.51
9/26/23,4273.53
9/25/23,4337.44
9/22/23,4320.06
9/21/23,4330
9/20/23,4402.2
9/19/23,4443.95
9/18/23,4453.53
9/15/23,4450.32
9/14/23,4505.1
9/13/23,4467.44
9/12/23,4461.9
9/11/23,4487.46
9/8/23,4457.49
9/7/23,4451.14
9/6/23,4465.48
9/5/23,4496.83
9/1/23,4515.77
8/31/23,4507.66
8/30/23,4514.87
8/29/23,4497.63
8/28/23,4433.31
8/25/23,4405.71
8/24/23,4376.31
8/23/23,4436.01
8/22/23,4387.55
8/21/23,4399.77
8/18/23,4369.71
8/17/23,4370.36
8/16/23,4404.33
8/15/23,4437.86
8/14/23,4489.72
8/11/23,4464.05
8/10/23,4468.83
8/9/23,4467.71
8/8/23,4499.38
8/7/23,4518.44
8/4/23,4478.03
8/3/23,4501.89
8/2/23,4513.39
8/1/23,4576.73
7/31/23,4588.96
7/28/23,4582.23
7/27/23,4537.41
7/26/23,4566.75
7/25/23,4567.46
7/24/23,4554.64
7/21/23,4536.34
7/20/23,4534.87
7/19/23,4565.72
7/18/23,4554.98
7/17/23,4522.79
7/14/23,4505.42
7/13/23,4510.04
7/12/23,4472.16
7/11/23,4439.26
7/10/23,4409.53
7/7/23,4398.95
7/6/23,4411.59
7/5/23,4446.82
7/3/23,4455.59
6/30/23,4450.38
6/29/23,4396.44
6/28/23,4376.86
6/27/23,4378.41
6/26/23,4328.82
6/23/23,4348.33
6/22/23,4381.89
6/21/23,4365.69
6/20/23,4388.71
6/16/23,4409.59
6/15/23,4425.84
6/14/23,4372.59
6/13/23,4369.01
6/12/23,4338.93
6/9/23,4298.86
6/8/23,4293.93
6/7/23,4267.52
6/6/23,4283.85
6/5/23,4273.79
6/2/23,4282.37
6/1/23,4221.02
5/31/23,4179.83
5/30/23,4205.52
5/26/23,4205.45
5/25/23,4151.28
5/24/23,4115.24
5/23/23,4145.58
5/22/23,4192.63
5/19/23,4191.98
5/18/23,4198.05
5/17/23,4158.77
5/16/23,4109.9
5/15/23,4136.28
5/12/23,4124.08
5/11/23,4130.62
5/10/23,4137.64
5/9/23,4119.17
5/8/23,4138.12
5/5/23,4136.25
5/4/23,4061.22
5/3/23,4090.75
5/2/23,4119.58
5/1/23,4167.87
4/28/23,4169.48
4/27/23,4135.35
4/26/23,4055.99
4/25/23,4071.63
4/24/23,4137.04
4/21/23,4133.52
4/20/23,4129.79
4/19/23,4154.52
4/18/23,4154.87
4/17/23,4151.32
4/14/23,4137.64
4/13/23,4146.22
4/12/23,4091.95
4/11/23,4108.94
4/10/23,4109.11
4/6/23,4105.02
4/5/23,4090.38
4/4/23,4100.6
4/3/23,4124.51
3/31/23,4109.31
3/30/23,4050.83
3/29/23,4027.81
3/28/23,3971.27
3/27/23,3977.53
3/24/23,3970.99
3/23/23,3948.72
3/22/23,3936.97
3/21/23,4002.87
3/20/23,3951.57
3/17/23,3916.64
3/16/23,3960.28
3/15/23,3891.93
3/14/23,3919.29
3/13/23,3855.76
3/10/23,3861.59
3/9/23,3918.32
3/8/23,3992.01
3/7/23,3986.37
3/6/23,4048.42
3/3/23,4045.64
3/2/23,3981.35
3/1/23,3951.39
2/28/23,3970.15
2/27/23,3982.24
2/24/23,3970.04
2/23/23,4012.32
2/22/23,3991.05
2/21/23,3997.34
2/17/23,4079.09
2/16/23,4090.41
2/15/23,4147.6
2/14/23,4136.13
2/13/23,4137.29
2/10/23,4090.46
2/9/23,4081.5
2/8/23,4117.86
2/7/23,4164
2/6/23,4111.08
2/3/23,4136.48
2/2/23,4179.76
2/1/23,4119.21
1/31/23,4076.6
1/30/23,4017.77
1/27/23,4070.56
1/26/23,4060.43
1/25/23,4016.22
1/24/23,4016.95
1/23/23,4019.81
1/20/23,3972.61
1/19/23,3898.85
1/18/23,3928.86
1/17/23,3990.97
1/13/23,3999.09
1/12/23,3983.17
1/11/23,3969.61
1/10/23,3919.25
1/9/23,3892.09
1/6/23,3895.08
1/5/23,3808.1
1/4/23,3852.97
1/3/23,3824.14
12/30/22,3839.5
12/29/22,3849.28
12/28/22,3783.22
12/27/22,3829.25
12/23/22,3844.82
12/22/22,3822.39
12/21/22,3878.44
12/20/22,3821.62
12/19/22,3817.66
12/16/22,3852.36
12/15/22,3895.75
12/14/22,3995.32
12/13/22,4019.65
12/12/22,3990.56
12/9/22,3934.38
12/8/22,3963.51
12/7/22,3933.92
12/6/22,3941.26
12/5/22,3998.84
12/2/22,4071.7
12/1/22,4076.57
11/30/22,4080.11
11/29/22,3957.63
11/28/22,3963.94
11/25/22,4026.12
11/23/22,4027.26
11/22/22,4003.58
11/21/22,3949.94
11/18/22,3965.34
11/17/22,3946.56
11/16/22,3958.79
11/15/22,3991.73
11/14/22,3957.25
11/11/22,3992.93
11/10/22,3956.37
11/9/22,3748.57
11/8/22,3828.11
11/7/22,3806.8
11/4/22,3770.55
11/3/22,3719.89
11/2/22,3759.69
11/1/22,3856.1
10/31/22,3871.98
10/28/22,3901.06
10/27/22,3807.3
10/26/22,3830.6
10/25/22,3859.11
10/24/22,3797.34
10/21/22,3752.75
10/20/22,3665.78
10/19/22,3695.16
10/18/22,3719.98
10/17/22,3677.95
10/14/22,3583.07
10/13/22,3669.91
10/12/22,3577.03
10/11/22,3588.84
10/10/22,3612.39
10/7/22,3639.66
10/6/22,3744.52
10/5/22,3783.28
10/4/22,3790.93
10/3/22,3678.43
9/30/22,3585.62
9/29/22,3640.47
9/28/22,3719.04
9/27/22,3647.29
9/26/22,3655.04
9/23/22,3693.23
9/22/22,3757.99
9/21/22,3789.93
9/20/22,3855.93
9/19/22,3899.89
9/16/22,3873.33
9/15/22,3901.35
9/14/22,3946.01
9/13/22,3932.69
9/12/22,4110.41
9/9/22,4067.36
9/8/22,4006.18
9/7/22,3979.87
9/6/22,3908.19
9/2/22,3924.26
9/1/22,3966.85
8/31/22,3955
8/30/22,3986.16
8/29/22,4030.61
8/26/22,4057.66
8/25/22,4199.12
8/24/22,4140.77
8/23/22,4128.73
8/22/22,4137.99
8/19/22,4228.48
8/18/22,4283.74
8/17/22,4274.04
8/16/22,4305.2
8/15/22,4297.14
8/12/22,4280.15
8/11/22,4207.27
8/10/22,4210.24
8/9/22,4122.47
8/8/22,4140.06
8/5/22,4145.19
8/4/22,4151.94
8/3/22,4155.17
8/2/22,4091.19
8/1/22,4118.63
7/29/22,4130.29
7/28/22,4072.43
7/27/22,4023.61
7/26/22,3921.05
7/25/22,3966.84
7/22/22,3961.63
7/21/22,3998.95
7/20/22,3959.9
7/19/22,3936.69
7/18/22,3830.85
7/15/22,3863.16
7/14/22,3790.38
7/13/22,3801.78
7/12/22,3818.8
7/11/22,3854.43
7/8/22,3899.38
7/7/22,3902.62
7/6/22,3845.08
7/5/22,3831.39
7/1/22,3825.33
6/30/22,3785.38
6/29/22,3818.83
6/28/22,3821.55
6/27/22,3900.11
6/24/22,3911.74
6/23/22,3795.73
6/22/22,3759.89
6/21/22,3764.79
6/17/22,3674.84
6/16/22,3666.77
6/15/22,3789.99
6/14/22,3735.48
6/13/22,3749.63
6/10/22,3900.86
6/9/22,4017.82
6/8/22,4115.77
6/7/22,4160.68
6/6/22,4121.43
6/3/22,4108.54
6/2/22,4176.82
6/1/22,4101.23
5/31/22,4132.15
5/27/22,4158.24
5/26/22,4057.84
5/25/22,3978.73
5/24/22,3941.48
5/23/22,3973.75
5/20/22,3901.36
5/19/22,3900.79
5/18/22,3923.68
5/17/22,4088.85
5/16/22,4008.01
5/13/22,4023.89
5/12/22,3930.08
5/11/22,3935.18
5/10/22,4001.05
5/9/22,3991.24
5/6/22,4123.34
5/5/22,4146.87
5/4/22,4300.17
5/3/22,4175.48
5/2/22,4155.38
4/29/22,4131.93
4/28/22,4287.5
4/27/22,4183.96
4/26/22,4175.2
4/25/22,4296.12
4/22/22,4271.78
4/21/22,4393.66
4/20/22,4459.45
4/19/22,4462.21
4/18/22,4391.69
4/14/22,4392.59
4/13/22,4446.59
4/12/22,4397.45
4/11/22,4412.53
4/8/22,4488.28
4/7/22,4500.21
4/6/22,4481.15
4/5/22,4525.12
4/4/22,4582.64
4/1/22,4545.86
3/31/22,4530.41
3/30/22,4602.45
3/29/22,4631.6
3/28/22,4575.52
3/25/22,4543.06
3/24/22,4520.16
3/23/22,4456.24
3/22/22,4511.61
3/21/22,4461.18
3/18/22,4463.12
3/17/22,4411.67
3/16/22,4357.86
3/15/22,4262.45
3/14/22,4173.11
3/11/22,4204.31
3/10/22,4259.52
3/9/22,4277.88
3/8/22,4170.7
3/7/22,4201.09
3/4/22,4328.87
3/3/22,4363.49
3/2/22,4386.54
3/1/22,4306.26
2/28/22,4373.94
2/25/22,4384.65
2/24/22,4288.7
2/23/22,4225.5
2/22/22,4304.76
2/18/22,4348.87
2/17/22,4380.26
2/16/22,4475.01
2/15/22,4471.07
2/14/22,4401.67
2/11/22,4418.64
2/10/22,4504.08
2/9/22,4587.18
2/8/22,4521.54
2/7/22,4483.87
2/4/22,4500.53
2/3/22,4477.44
2/2/22,4589.38
2/1/22,4546.54
1/31/22,4515.55
1/28/22,4431.85
1/27/22,4326.51
1/26/22,4349.93
1/25/22,4356.45
1/24/22,4410.13
1/21/22,4397.94
1/20/22,4482.73
1/19/22,4532.76
1/18/22,4577.11
1/14/22,4662.85
1/13/22,4659.03
1/12/22,4726.35
1/11/22,4713.07
1/10/22,4670.29
1/7/22,4677.03
1/6/22,4696.05
1/5/22,4700.58
1/4/22,4793.54
1/3/22,4796.56
12/31/21,4766.18
12/30/21,4778.73
12/29/21,4793.06
12/28/21,4786.35
12/27/21,4791.19
12/23/21,4725.79
12/22/21,4696.56
12/21/21,4649.23
12/20/21,4568.02
12/17/21,4620.64
12/16/21,4668.67
12/15/21,4709.85
12/14/21,4634.09
12/13/21,4668.97
12/10/21,4712.02
12/9/21,4667.45
12/8/21,4701.21
12/7/21,4686.75
12/6/21,4591.67
12/3/21,4538.43
12/2/21,4577.1
12/1/21,4513.04
11/30/21,4567
11/29/21,4655.27
11/26/21,4594.62
11/24/21,4701.46
11/23/21,4690.7
11/22/21,4682.94
11/19/21,4697.96
11/18/21,4704.54
11/17/21,4688.67
11/16/21,4700.9
11/15/21,4682.8
11/12/21,4682.85
11/11/21,4649.27
11/10/21,4646.71
11/9/21,4685.25
11/8/21,4701.7
11/5/21,4697.53
11/4/21,4680.06
11/3/21,4660.57
11/2/21,4630.65
11/1/21,4613.67
10/29/21,4605.38
10/28/21,4596.42
10/27/21,4551.68
10/26/21,4574.79
10/25/21,4566.48
10/22/21,4544.9
10/21/21,4549.78
10/20/21,4536.19
10/19/21,4519.63
10/18/21,4486.46
10/15/21,4471.37
10/14/21,4438.26
10/13/21,4363.8
10/12/21,4350.65
10/11/21,4361.19
10/8/21,4391.34
10/7/21,4399.76
10/6/21,4363.55
10/5/21,4345.72
10/4/21,4300.46
10/1/21,4357.04
9/30/21,4307.54
9/29/21,4359.46
9/28/21,4352.63
9/27/21,4443.11
9/24/21,4455.48
9/23/21,4448.98
9/22/21,4395.64
9/21/21,4354.19
9/20/21,4357.73
9/17/21,4432.99
9/16/21,4473.75
9/15/21,4480.7
9/14/21,4443.05
9/13/21,4468.73
9/10/21,4458.58
9/9/21,4493.28
9/8/21,4514.07
9/7/21,4520.03
9/3/21,4535.43
9/2/21,4536.95
9/1/21,4524.09
8/31/21,4522.68
8/30/21,4528.79
8/27/21,4509.37
8/26/21,4470
8/25/21,4496.19
8/24/21,4486.23
8/23/21,4479.53
8/20/21,4441.67
8/19/21,4405.8
8/18/21,4400.27
8/17/21,4448.08
8/16/21,4479.71
8/13/21,4468
8/12/21,4460.83
8/11/21,4447.7
8/10/21,4436.75
8/9/21,4432.35
8/6/21,4436.52
8/5/21,4429.1
8/4/21,4402.66
8/3/21,4423.15
8/2/21,4387.16
7/30/21,4395.26
7/29/21,4419.15
7/28/21,4400.64
7/27/21,4401.46
7/26/21,4422.3
7/23/21,4411.79
7/22/21,4367.48
7/21/21,4358.69
7/20/21,4323.06
7/19/21,4258.49
7/16/21,4327.16
7/15/21,4360.03
7/14/21,4374.3
7/13/21,4369.21
7/12/21,4384.63
7/9/21,4369.55
7/8/21,4320.82
7/7/21,4358.13
7/6/21,4343.54
7/2/21,4352.34
7/1/21,4319.94
6/30/21,4297.5
6/29/21,4291.8
6/28/21,4290.61
6/25/21,4280.7
6/24/21,4266.49
6/23/21,4241.84
6/22/21,4246.44
6/21/21,4224.79
6/18/21,4166.45
6/17/21,4221.86
6/16/21,4223.7
6/15/21,4246.59
6/14/21,4255.15
6/11/21,4247.44
6/10/21,4239.18
6/9/21,4219.55
6/8/21,4227.26
6/7/21,4226.52
6/4/21,4229.89
6/3/21,4192.85
6/2/21,4208.12
6/1/21,4202.04
5/28/21,4204.11
5/27/21,4200.88
5/26/21,4195.99
5/25/21,4188.13
5/24/21,4197.05
5/21/21,4155.86
5/20/21,4159.12
5/19/21,4115.68
5/18/21,4127.83
5/17/21,4163.29
5/14/21,4173.85
5/13/21,4112.5
5/12/21,4063.04
5/11/21,4152.1
5/10/21,4188.43
5/7/21,4232.6
5/6/21,4201.62
5/5/21,4167.59
5/4/21,4164.66
5/3/21,4192.66
4/30/21,4181.17
4/29/21,4211.47
4/28/21,4183.18
4/27/21,4186.72
4/26/21,4187.62
4/23/21,4180.17
4/22/21,4134.98
4/21/21,4173.42
4/20/21,4134.94
4/19/21,4163.26
4/16/21,4185.47
4/15/21,4170.42
4/14/21,4124.66
4/13/21,4141.59
4/12/21,4127.99
4/9/21,4128.8
4/8/21,4097.17
4/7/21,4079.95
4/6/21,4073.94
4/5/21,4077.91
4/1/21,4019.87
3/31/21,3972.89
3/30/21,3958.55
3/29/21,3971.09
3/26/21,3974.54
3/25/21,3909.52
3/24/21,3889.14
3/23/21,3910.52
3/22/21,3940.59
3/19/21,3913.1
3/18/21,3915.46
3/17/21,3974.12
3/16/21,3962.71
3/15/21,3968.94
3/12/21,3943.34
3/11/21,3939.34
3/10/21,3898.81
3/9/21,3875.44
3/8/21,3821.35
3/5/21,3841.94
3/4/21,3768.47
3/3/21,3819.72
3/2/21,3870.29
3/1/21,3901.82
2/26/21,3811.15
2/25/21,3829.34
2/24/21,3925.43
2/23/21,3881.37
2/22/21,3876.5
2/19/21,3906.71
2/18/21,3913.97
2/17/21,3931.33
2/16/21,3932.59
2/12/21,3934.83
2/11/21,3916.38
2/10/21,3909.88
2/9/21,3911.23
2/8/21,3915.59
2/5/21,3886.83
2/4/21,3871.74
2/3/21,3830.17
2/2/21,3826.31
2/1/21,3773.86
1/29/21,3714.24
1/28/21,3787.38
1/27/21,3750.77
